epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,124406,1.01872,1.31379,1.20547,0.7255,0.76516,0.78589,0.60251,0.71576,0.69691,0.97561,0.0041095,0.0041095,0.0041095
121,125438,1.01519,1.31292,1.20083,0.72021,0.7722,0.78664,0.60403,0.71386,0.69465,0.97392,0.00406,0.00406,0.00406
122,126469,1.01466,1.31239,1.20367,0.72391,0.76766,0.78631,0.60411,0.71281,0.69524,0.97379,0.0040105,0.0040105,0.0040105
123,127504,1.01042,1.30064,1.19784,0.73019,0.76597,0.78787,0.60524,0.71154,0.69252,0.97231,0.003961,0.003961,0.003961
124,128536,1.00547,1.29481,1.19588,0.7292,0.768,0.7882,0.60598,0.70961,0.69093,0.97121,0.0039115,0.0039115,0.0039115
125,129568,1.00155,1.29276,1.19309,0.72511,0.77298,0.78848,0.6059,0.7091,0.68855,0.97046,0.003862,0.003862,0.003862
126,130599,1.00923,1.2949,1.19538,0.72419,0.77657,0.78891,0.60661,0.70788,0.68553,0.9698,0.0038125,0.0038125,0.0038125
127,131631,0.99508,1.27952,1.19524,0.72308,0.78033,0.79054,0.60881,0.70591,0.68314,0.96931,0.003763,0.003763,0.003763
128,132659,1.00097,1.28461,1.19426,0.72071,0.78404,0.79087,0.60992,0.70546,0.68128,0.96862,0.0037135,0.0037135,0.0037135
129,133691,0.99411,1.27757,1.18655,0.71555,0.78404,0.79027,0.61036,0.70506,0.68108,0.96819,0.003664,0.003664,0.003664
130,134722,0.99847,1.27848,1.18539,0.71671,0.788,0.79052,0.61113,0.70341,0.67899,0.96611,0.0036145,0.0036145,0.0036145
131,135752,0.99017,1.26013,1.18637,0.71891,0.78654,0.79208,0.61157,0.70298,0.67758,0.96609,0.003565,0.003565,0.003565
132,136788,0.98967,1.27083,1.18394,0.72484,0.78778,0.79459,0.61404,0.70159,0.67295,0.96528,0.0035155,0.0035155,0.0035155
133,137826,0.98613,1.27704,1.18616,0.72895,0.78669,0.79593,0.61445,0.70078,0.66909,0.96372,0.003466,0.003466,0.003466
134,138857,0.98334,1.26904,1.18565,0.72929,0.78685,0.79662,0.61528,0.69841,0.66711,0.9628,0.0034165,0.0034165,0.0034165
135,139882,0.9785,1.26222,1.18038,0.73372,0.78526,0.79813,0.61613,0.69711,0.66353,0.96155,0.003367,0.003367,0.003367
136,140912,0.98008,1.24921,1.17891,0.73396,0.78836,0.80025,0.61782,0.69529,0.66168,0.96107,0.0033175,0.0033175,0.0033175
137,141945,0.97692,1.25615,1.1798,0.73459,0.78919,0.79951,0.61885,0.69134,0.65909,0.95938,0.003268,0.003268,0.003268
138,142975,0.97733,1.25629,1.17841,0.72933,0.79215,0.80107,0.62107,0.68865,0.65627,0.95817,0.0032185,0.0032185,0.0032185
139,144006,0.97087,1.25179,1.17512,0.72938,0.7923,0.80384,0.62451,0.68741,0.64999,0.95767,0.003169,0.003169,0.003169
140,145036,0.9703,1.24825,1.16964,0.73299,0.79324,0.80532,0.62625,0.68509,0.64678,0.95568,0.0031195,0.0031195,0.0031195
141,146069,0.96701,1.24015,1.17194,0.73401,0.79286,0.80723,0.62747,0.68326,0.64397,0.95475,0.00307,0.00307,0.00307
142,147101,0.96382,1.2356,1.16643,0.73631,0.79184,0.80694,0.62777,0.68141,0.64231,0.95261,0.0030205,0.0030205,0.0030205
143,148135,0.95786,1.22227,1.16141,0.73667,0.79591,0.80882,0.62987,0.68,0.63853,0.95068,0.002971,0.002971,0.002971
144,149170,0.95507,1.22622,1.16644,0.73599,0.79532,0.80838,0.63005,0.67717,0.63453,0.94892,0.0029215,0.0029215,0.0029215
145,150209,0.96009,1.22421,1.16369,0.7407,0.79293,0.8092,0.63134,0.67521,0.63282,0.94819,0.002872,0.002872,0.002872
146,151241,0.95184,1.22902,1.16389,0.73436,0.79816,0.81037,0.63442,0.67303,0.62971,0.94755,0.0028225,0.0028225,0.0028225
147,152273,0.95397,1.21916,1.16396,0.74297,0.79324,0.81308,0.63682,0.6711,0.62533,0.94592,0.002773,0.002773,0.002773
148,153305,0.94949,1.21518,1.16423,0.7413,0.79518,0.81379,0.63751,0.66928,0.6244,0.9447,0.0027235,0.0027235,0.0027235
149,154332,0.94083,1.20421,1.15619,0.75223,0.78669,0.81466,0.63915,0.66724,0.61938,0.94417,0.002674,0.002674,0.002674
150,155366,0.93878,1.20943,1.14836,0.74861,0.79435,0.81568,0.64021,0.66414,0.61636,0.94225,0.0026245,0.0026245,0.0026245
151,156399,0.93824,1.1962,1.15247,0.75119,0.79359,0.81775,0.64205,0.66125,0.61483,0.94013,0.002575,0.002575,0.002575
152,157429,0.93596,1.19728,1.15153,0.74956,0.79231,0.81768,0.64196,0.65948,0.61226,0.93898,0.0025255,0.0025255,0.0025255
153,158458,0.93984,1.19714,1.15512,0.74257,0.79963,0.81847,0.64325,0.6585,0.61046,0.93852,0.002476,0.002476,0.002476
154,159486,0.93079,1.19147,1.14731,0.74981,0.79897,0.81977,0.64486,0.65616,0.60643,0.93682,0.0024265,0.0024265,0.0024265
155,160515,0.92432,1.17866,1.14778,0.74878,0.80461,0.82151,0.64617,0.65403,0.60349,0.93526,0.002377,0.002377,0.002377
156,161546,0.91793,1.17505,1.1455,0.75163,0.80633,0.8241,0.64909,0.653,0.59762,0.93495,0.0023275,0.0023275,0.0023275
157,162577,0.92113,1.18485,1.14018,0.76264,0.79947,0.82489,0.65066,0.65195,0.5939,0.93421,0.002278,0.002278,0.002278
158,163605,0.91134,1.17034,1.13763,0.76313,0.80166,0.82695,0.65312,0.65062,0.58922,0.93326,0.0022285,0.0022285,0.0022285
159,164640,0.9129,1.17457,1.13786,0.7643,0.80182,0.82867,0.65554,0.64726,0.58471,0.9314,0.002179,0.002179,0.002179
160,165674,0.90678,1.16302,1.13395,0.76181,0.8082,0.8305,0.65812,0.64413,0.58225,0.92893,0.0021295,0.0021295,0.0021295
161,166705,0.90113,1.15568,1.13355,0.75697,0.81387,0.83264,0.65922,0.64301,0.5785,0.92844,0.00208,0.00208,0.00208
162,167732,0.90195,1.1491,1.13128,0.75664,0.8163,0.83377,0.66051,0.64063,0.57413,0.92739,0.0020305,0.0020305,0.0020305
163,168760,0.89421,1.14234,1.1276,0.76226,0.81194,0.83558,0.66231,0.6399,0.57111,0.92736,0.001981,0.001981,0.001981
164,169792,0.89592,1.13657,1.12625,0.76093,0.81692,0.83681,0.66381,0.63924,0.56737,0.92665,0.0019315,0.0019315,0.0019315
165,170826,0.88696,1.14059,1.12298,0.76401,0.81569,0.83848,0.66576,0.63726,0.5636,0.92472,0.001882,0.001882,0.001882
166,171860,0.88532,1.1361,1.12383,0.76352,0.82082,0.83893,0.66594,0.63664,0.56166,0.92406,0.0018325,0.0018325,0.0018325
167,172890,0.88314,1.12611,1.12105,0.7653,0.82154,0.84072,0.66853,0.63435,0.55904,0.92276,0.001783,0.001783,0.001783
168,173916,0.87792,1.11618,1.1188,0.76628,0.82549,0.84217,0.67128,0.63161,0.55571,0.92116,0.0017335,0.0017335,0.0017335
169,174948,0.87505,1.11542,1.12149,0.77275,0.82206,0.84399,0.67463,0.62743,0.5518,0.91937,0.001684,0.001684,0.001684
170,175982,0.86622,1.10182,1.11549,0.77701,0.8209,0.84579,0.67639,0.62444,0.54761,0.91828,0.0016345,0.0016345,0.0016345
171,177012,0.86117,1.10157,1.10496,0.7767,0.82347,0.84681,0.6782,0.62132,0.54494,0.91577,0.001585,0.001585,0.001585
172,178040,0.86359,1.10672,1.11207,0.7815,0.82502,0.85004,0.68081,0.61847,0.53843,0.91436,0.0015355,0.0015355,0.0015355
173,179067,0.85661,1.09801,1.10841,0.78296,0.82549,0.85079,0.68305,0.61553,0.53325,0.91265,0.001486,0.001486,0.001486
174,180095,0.85157,1.0841,1.10234,0.78574,0.83136,0.8534,0.68565,0.61327,0.52992,0.91102,0.0014365,0.0014365,0.0014365
175,181126,0.84581,1.08828,1.10417,0.78753,0.83188,0.85478,0.68738,0.61094,0.52621,0.90929,0.001387,0.001387,0.001387
176,182153,0.83778,1.08017,1.09808,0.78911,0.83253,0.85744,0.69009,0.60927,0.52207,0.90813,0.0013375,0.0013375,0.0013375
177,183183,0.8374,1.06021,1.09887,0.78897,0.83313,0.86014,0.69247,0.60876,0.51718,0.90809,0.001288,0.001288,0.001288
178,184218,0.83798,1.05987,1.09574,0.79161,0.83827,0.86184,0.69462,0.60633,0.51239,0.90611,0.0012385,0.0012385,0.0012385
179,185246,0.82896,1.0571,1.09118,0.79457,0.8353,0.86215,0.69622,0.60347,0.50778,0.90395,0.001189,0.001189,0.001189
180,186275,0.82161,1.04516,1.09008,0.79531,0.8391,0.8634,0.69845,0.6013,0.50417,0.90299,0.0011395,0.0011395,0.0011395
181,187310,0.81169,1.03883,1.08503,0.79796,0.84076,0.86488,0.69995,0.59707,0.50191,0.90072,0.00109,0.00109,0.00109
182,188346,0.81402,1.03664,1.0866,0.79848,0.8421,0.86635,0.70212,0.5946,0.49929,0.89982,0.0010405,0.0010405,0.0010405
183,189383,0.80506,1.02417,1.07856,0.80189,0.8406,0.86883,0.70454,0.59211,0.49321,0.89806,0.000991,0.000991,0.000991
184,190410,0.79256,1.02146,1.0751,0.79856,0.84964,0.86996,0.70716,0.58838,0.48924,0.89573,0.0009415,0.0009415,0.0009415
